Model,Accuracy,AUC,Precision,Recall,F1,MCC
logistic,0.9368421052631579,0.9790077594355175,0.9388985357355678,0.9396976824273331,0.937203245231181,0.8693881633925244
dt,0.9815789473684211,0.981161937001297,0.9816169889171775,0.981161937001297,0.981590809654977,0.9610852799099275
knn,0.925,0.9808908330219301,0.9248321825853472,0.9190168450823937,0.9248738768376304,0.8408571214555491
nb,0.9513157894736842,0.9792422277419969,0.951555678863982,0.9501205313637995,0.951392682064501,0.8974017014060854
rf,0.9802631578947368,0.9988166677657369,0.9804344693970305,0.9761831490558988,0.980201942989464,0.9582932559454078
xgb,0.9868421052631579,0.9989595468899977,0.9868392053238246,0.9854263293253906,0.9868334169981079,0.972135639619751
